GRID No.,Lat,Long
1,23.75,79.75
2,23.75,80
3,23.75,80.25
4,23.75,80.5
5,23.5,78.25
6,23.5,78.5
7,23.5,78.75
8,23.5,79.75
9,23.5,80
10,23.5,80.25
11,23.5,80.5
12,23.25,77.25
13,23.25,77.75
14,23.25,78
15,23.25,78.25
16,23.25,78.5
17,23.25,78.75
18,23.25,79
19,23.25,79.25
20,23.25,79.5
21,23.25,79.75
22,23.25,80
23,23.25,80.25
24,23.25,80.5
25,23.25,80.75
26,23.25,81
27,23,76.75
28,23,77
29,23,77.25
30,23,77.5
31,23,77.75
32,23,78
33,23,78.25
34,23,78.5
35,23,78.75
36,23,79
37,23,79.25
38,23,79.5
39,23,79.75
40,23,80
41,23,80.25
42,23,80.5
43,23,80.75
44,23,81
45,23,81.25
46,23,81.5
47,23,81.75
48,22.75,75.75
49,22.75,76
50,22.75,76.25
51,22.75,76.5
52,22.75,76.75
53,22.75,77
54,22.75,77.25
55,22.75,77.5
56,22.75,77.75
57,22.75,78
58,22.75,78.25
59,22.75,78.5
60,22.75,78.75
61,22.75,79
62,22.75,79.25
63,22.75,79.5
64,22.75,79.75
65,22.75,80
66,22.75,80.25
67,22.75,80.5
68,22.75,80.75
69,22.75,81
70,22.75,81.25
71,22.75,81.5
72,22.75,81.75
73,22.5,73.75
74,22.5,74
75,22.5,74.25
76,22.5,74.5
77,22.5,74.75
78,22.5,75
79,22.5,75.25
80,22.5,75.5
81,22.5,75.75
82,22.5,76
83,22.5,76.25
84,22.5,76.5
85,22.5,76.75
86,22.5,77
87,22.5,77.25
88,22.5,77.5
89,22.5,77.75
90,22.5,78
91,22.5,78.25
92,22.5,78.5
93,22.5,78.75
94,22.5,79
95,22.5,79.25
96,22.5,79.5
97,22.5,79.75
98,22.5,80
99,22.5,80.25
100,22.5,80.5
101,22.5,80.75
102,22.5,81
103,22.5,81.25
104,22.5,81.5
105,22.5,81.75
106,22.25,73.5
107,22.25,73.75
108,22.25,74
109,22.25,74.25
110,22.25,74.5
111,22.25,74.75
112,22.25,75
113,22.25,75.25
114,22.25,75.5
115,22.25,75.75
116,22.25,76
117,22.25,76.25
118,22.25,76.5
119,22.25,76.75
120,22.25,77
121,22.25,77.25
122,22.25,77.5
123,22.25,77.75
124,22.25,78
125,22.25,78.25
126,22.25,78.5
127,22.25,78.75
128,22.25,79
129,22.25,80.25
130,22.25,80.5
131,22.25,80.75
132,22.25,81
133,22.25,81.25
134,22,73
135,22,73.25
136,22,73.5
137,22,73.75
138,22,74
139,22,74.25
140,22,74.5
141,22,74.75
142,22,75
143,22,75.25
144,22,75.5
145,22,75.75
146,22,76
147,22,76.25
148,22,76.5
149,22,76.75
150,22,77
151,22,77.25
152,22,77.5
153,22,77.75
154,22,78
155,22,78.25
156,22,78.5
157,22,80.5
158,22,80.75
159,22,81
160,21.75,72.75
161,21.75,73
162,21.75,73.25
163,21.75,73.5
164,21.75,73.75
165,21.75,74
166,21.75,74.25
167,21.75,74.5
168,21.75,74.75
169,21.75,75
170,21.75,75.25
171,21.75,75.5
172,21.75,75.75
173,21.75,76
174,21.75,76.25
175,21.75,76.5
176,21.75,76.75
177,21.75,77
178,21.75,77.25
179,21.75,77.75
180,21.75,78
181,21.75,80.75
182,21.75,81
183,21.5,72.75
184,21.5,73
185,21.5,73.25
186,21.5,73.5
187,21.5,73.75
188,21.5,74
189,21.5,75
190,21.5,75.25
191,21.5,75.5
192,21.5,75.75
193,21.5,76
194,21.5,76.25
195,21.5,76.5
196,21.5,76.75
197,21.25,73.5
